num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,actor_2_facebook_likes,movie_facebook_likes,score_class,,
334,104,420,20000,234360014,383427,21714,1912,808,0,1,,
376,104,37,12000,268488329,235025,14863,265,779,44000,1,,
366,150,0,894,402076689,323207,3218,1439,581,0,0,,
378,165,0,974,245428137,242420,3988,918,956,56000,0,,
525,130,0,44000,234903076,175409,73441,511,15000,60000,0,,
495,142,464,15000,202853933,321227,28631,1067,10000,41000,1,,
469,125,364,12000,172051787,264183,25550,665,10000,30000,1,,
304,106,487,1000,191450875,101178,4482,283,919,10000,0,,
436,123,258,16000,116593191,223393,17657,550,368,24000,0,,
453,103,125,15000,414984497,544884,19085,733,1000,30000,1,,
422,118,368,23000,125320003,286095,27468,974,3000,0,1,,
424,140,0,26000,350034110,278232,79150,657,23000,94000,1,,
654,123,395,17000,202351611,465019,32392,995,11000,129000,1,,
539,149,0,34000,233914986,514125,91434,752,22000,82000,1,,
590,132,14000,19000,228756232,395573,21411,1171,981,92000,1,,
338,114,0,979,65171860,106416,1766,205,557,22000,0,,
490,143,1000,29000,144812796,362912,29770,753,509,115000,1,,
306,116,179,15000,90755643,222403,16149,453,567,23000,1,,
575,131,0,16000,101785482,381148,19166,1106,968,83000,1,,
428,154,0,894,352358779,326180,2593,899,829,46000,0,,
470,122,14000,11000,317011114,333847,14959,2054,1000,5000,0,,
298,93,113,275,123070338,62836,696,345,150,20000,1,,
488,93,56,2000,237282182,273556,5005,428,1000,39000,1,,
322,122,681,998,130468626,53607,1327,432,119,30000,1,,
421,98,475,1000,223806889,718837,2975,1043,729,16000,1,,
162,91,420,268,140080850,121084,1125,221,268,0,0,,
367,158,776,1000,166112167,283418,2144,1055,468,13000,0,,
240,96,0,18000,137850096,72809,48878,249,14000,0,1,,
384,127,0,17000,47375327,139593,47334,720,15000,44000,0,,
248,110,282,11000,124051759,42372,21175,239,10000,29000,1,,
284,150,80,1000,291709845,286506,1317,1463,190,0,1,,
396,144,0,34000,154985087,148379,49684,622,13000,54000,1,,
645,152,22000,23000,533316061,1676169,57802,4667,13000,37000,1,,
408,96,0,1000,292979556,665575,2635,704,848,27000,1,,
219,94,11,1000,198332128,114553,2579,187,973,0,1,,
486,126,4000,21000,318298180,696338,39252,1055,12000,10000,1,,
682,126,17000,17000,73820094,245333,36017,678,16000,42000,1,,
85,106,188,10000,113745408,129601,15870,648,4000,0,0,,
264,112,357,5000,102176165,117927,9131,501,3000,0,0,,
418,123,452,10000,161087183,118992,11287,971,336,80000,1,,
186,96,293,87000,100289690,115099,108016,257,11000,2000,0,,
585,113,218,10000,100189501,431620,12652,741,854,77000,1,,
91,176,58,711,88246220,144337,1004,309,60,0,0,,
250,118,208,23000,150167630,174578,26683,534,2000,0,0,,
536,95,0,1000,356454367,345198,2944,773,767,118000,1,,
370,106,4000,19000,362645141,106072,32921,398,13000,65000,1,,
453,124,4000,21000,312057433,522371,48638,723,19000,18000,1,,
416,132,274,26000,155111815,228554,72881,710,17000,53000,0,,
401,97,171,11000,241407328,252257,15516,634,2000,89000,1,,
521,130,198,10000,208543795,317542,14363,620,2000,45000,1,,
10,109,596,622,48468407.53,2138,1982,15,525,677,0,,
218,128,47,18000,38297305,116994,20965,324,1000,35000,0,,
576,136,94,19000,259746958,496749,36188,742,11000,55000,1,,
226,93,31,4000,238371987,138661,4628,173,225,0,0,,
443,130,663,2000,93417865,128306,5046,497,638,37000,1,,
384,102,38,756,222487711,279093,2963,433,719,41000,1,,
377,101,66,975,189412677,272534,4451,345,931,40000,1,,
188,100,0,15000,665426,120798,16264,444,726,10000,1,,
286,120,776,890,102315545,58137,3233,520,812,67000,0,,
288,98,255,18000,217387997,485430,20453,492,953,33000,1,,
280,109,84,648,150350192,305340,1769,1676,284,0,0,,
653,121,571,14000,333130696,682155,32438,1097,14000,96000,1,,
712,169,22000,11000,187991439,928227,31488,2725,11000,349000,1,,
642,148,22000,29000,292568851,1468200,81115,2803,27000,175000,1,,
1,120,28,544,48468407.53,374,699,13,106,0,1,,
645,182,0,5000,303001229,637246,9152,1367,972,166000,1,,
187,106,357,23000,144512310,272223,45327,988,14000,14000,1,,
362,166,21000,11000,127490802,459346,13333,822,1000,23000,1,,
500,132,905,34000,146405371,518537,50983,698,13000,54000,1,,
389,137,508,34000,281666058,166137,81385,383,22000,38000,1,,
235,109,226,12000,63143812,124185,13388,238,418,11000,0,,
231,98,249,87000,60655503,82380,92456,629,2000,0,0,,
218,113,33,40000,76846624,21352,80806,131,25000,30000,0,,
227,93,50,3000,320706665,211971,4705,326,795,0,0,,
275,123,0,3000,46978995,111609,5505,781,716,89000,1,,
474,126,230,24000,89732035,188457,38873,867,10000,82000,1,,
228,113,150,531,104383624,106446,764,227,82,11000,0,,
191,184,0,3000,198539855,254111,5401,1999,961,0,0,,
396,144,0,662,318759914,513158,2333,1782,599,8000,1,,
248,206,0,12000,34293771,138863,24598,1390,11000,0,0,,
329,138,282,21000,292000866,355137,33433,1108,11000,0,1,,
295,157,179,21000,289994397,385670,53413,1896,11000,0,1,,
318,102,532,10000,227946274,343648,21584,590,9000,0,0,,
323,104,508,10000,256386216,530870,13076,1413,1000,11000,1,,
276,115,13000,40000,206456431,320284,57844,1361,16000,0,1,,
318,111,663,1000,206435493,473887,4764,626,1000,10000,1,,
478,128,22000,23000,205343774,980946,59558,2685,14000,15000,1,,
167,89,35,1000,179982968,146019,3285,119,851,0,1,,
185,105,189,49000,177243721,130272,54039,209,3000,2000,0,,
350,119,151,20000,179883016,361924,40054,641,16000,0,1,,
245,129,0,309,139259759,364948,1062,2121,269,0,1,,
406,102,69,1000,400736600,421658,2582,904,523,58000,1,,
275,138,0,234,281492479,421818,534,2789,198,0,1,,
486,112,230,26000,206360018,414070,59803,532,20000,63000,1,,
739,120,750,27000,153629485,552503,40025,1588,9000,191000,1,,
298,146,2000,15000,133375846,207839,16948,435,745,0,1,,
516,115,0,26000,181015141,536314,60059,738,20000,63000,1,,
225,96,59,17000,114053579,146766,20007,178,759,0,1,,
145,88,12,730,119420252,33042,2217,90,607,0,0,,
310,99,473,14000,83640426,152826,16184,253,897,19000,0,,
526,113,13000,40000,79711678,199039,80849,479,17000,82000,0,,
465,131,188,10000,195000874,232187,21840,440,10000,47000,1,,
357,119,394,12000,61937495,89442,13071,432,490,0,0,,
248,110,282,11000,124051759,42372,21175,239,10000,29000,1,,
194,91,58,2000,126597121,105902,6576,206,852,0,0,,
284,90,90,11000,165230261,182718,21015,209,10000,20000,1,,
280,103,0,1000,131564731,118951,2857,1382,756,18000,0,,
310,124,14000,22000,133382309,256695,34817,871,10000,0,1,,
339,131,776,17000,73103784,164238,18204,434,551,33000,0,,
132,88,25,921,21379315,17590,2652,112,562,0,0,,
135,85,42,20000,64459316,85086,35161,122,14000,0,1,,
256,111,456,20000,34964818,39956,21393,186,548,24000,0,,
196,92,50,3000,111505642,47900,5810,130,1000,11000,1,,
220,196,249,11000,133228348,381672,17944,1694,5000,0,1,,
211,93,35,851,216366733,119213,2444,154,770,17000,1,,
264,133,93,769,160201106,169914,2538,1185,766,0,0,,
464,116,176,783,118099659,69757,2097,1211,370,62000,0,,
167,153,0,13000,201573391,322395,26029,1171,12000,11000,1,,
208,88,188,10000,190418803,270207,14823,606,3000,2000,0,,
287,115,0,18000,82161969,142440,31523,505,12000,3000,0,,
210,95,5,24000,143523463,64322,36095,145,11000,24000,1,,
432,133,663,10000,209364921,365104,21768,512,10000,35000,1,,
256,97,52,20000,103400692,123553,20645,174,315,25000,1,,
135,90,23,957,110332737,110788,1997,258,550,2000,0,,
190,154,380,10000,111110575,317166,11945,928,956,0,1,,
314,150,0,23000,65007045,128682,26490,657,893,51000,0,,
518,127,14000,26000,257704099,504419,39284,1559,12000,19000,1,,
291,121,0,24000,403706375,544665,40484,2012,11000,5000,1,,
292,102,255,18000,176997107,221128,23378,343,3000,46000,1,,
184,126,295,18000,31141074,51892,19769,273,934,24000,0,,
145,121,357,820,31704416,45455,2705,388,780,0,0,,
451,215,0,986,107503316,392474,2530,1229,745,18000,1,,
141,127,503,5000,129734803,127497,6171,287,808,0,1,,
267,138,0,820,132122995,212106,1814,1445,300,0,0,,
351,122,209,17000,122512052,146352,31958,288,12000,42000,0,,
163,124,42,11000,68642452,77673,13073,463,973,0,0,,
166,106,6,12000,32131830,72259,15015,788,2000,0,0,,
510,124,394,11000,176636816,508818,19761,679,3000,46000,1,,
197,128,150,766,126930660,157519,2037,683,536,2000,0,,
244,138,608,613,93926386,168207,1205,684,172,0,1,,
322,115,386,21000,292298923,185394,59177,329,17000,65000,0,,
156,100,750,49000,63992328,32399,62644,79,11000,0,0,,
354,135,255,3000,134518390,326286,5811,643,1000,0,1,,
21,60,686.509212,982,48468407.53,16769,1687,74,321,0,1,,
252,117,14000,535,52792307,12572,1950,106,400,27000,1,,
556,156,0,29000,183635922,406020,57108,1188,27000,190000,1,,
166,96,13,16000,83024900,62424,17416,90,881,13000,1,,
362,107,563,40000,123207194,183208,43291,337,1000,26000,1,,
153,92,35,19000,83348920,60230,19963,118,411,11000,1,,
329,115,521,13000,227137090,491077,17369,820,897,0,1,,
266,92,54,11000,215395021,307029,12754,360,967,6000,1,,
517,117,235,2000,180191634,313866,5730,549,2000,61000,1,,
502,146,508,34000,424645577,498397,49355,706,14000,82000,1,,
322,115,386,21000,292298923,185394,59177,329,17000,65000,0,,
165,94,12,17000,177343675,70121,17883,214,523,26000,1,,
401,116,14000,10000,234277056,334345,12758,2741,1000,0,1,,
94,147,0,10000,138396624,178126,12954,511,898,0,1,,
246,90,50,4000,149234747,114287,5046,137,442,16000,1,,
330,101,176,11000,118311368,245621,12406,514,702,23000,0,,
434,138,0,12000,101160529,200022,32355,1240,9000,71000,0,,
440,107,14000,2000,77564037,177383,4631,447,871,44000,1,,
274,142,0,11000,249358727,382255,33284,1504,10000,11000,1,,
245,165,1000,309,49551662,102338,921,450,284,0,1,,
349,100,0,10000,60522097,158720,14168,744,943,37000,0,,
145,82,0,1000,137748063,38438,2945,241,558,0,1,,
1,107.201074,0,10000,48468407.53,381,11036,2,570,40,1,,
154,98,189,49000,113733726,67223,53587,126,3000,11000,0,,
233,95,96,24000,148337537,172754,46120,187,11000,13000,1,,
258,159,0,11000,317557891,444683,13191,1571,687,16000,1,,
208,96,124,16000,33592415,91640,31549,210,12000,20000,0,,
1,120,28,544,48468407.53,374,699,13,106,0,1,,
271,143,563,40000,305388685,809474,48184,2113,5000,10000,1,,
4,107.201074,0,10000,48468407.53,252,14719,2,2000,25,0,,
403,123,508,34000,337103873,305008,81385,591,22000,52000,1,,
294,174,2000,15000,217536138,314253,16008,1966,574,0,1,,
159,101,107,688,131536019,58498,1031,99,237,0,0,,
289,134,0,20000,214948780,405973,20952,1055,505,0,1,,
342,132,681,23000,209805005,284792,55345,366,14000,54000,1,,
382,129,0,21000,186830669,338635,22403,412,979,39000,1,,
344,106,255,14000,163192114,229679,18003,637,1000,15000,0,,
196,113,719,605,119412921,240241,1441,391,308,0,1,,
85,102,323,845,32694788,101411,1815,546,372,0,1,,
436,135,209,10000,113165635,229823,12175,504,826,31000,1,,
183,125,541,920,107285004,189855,2699,1018,890,0,0,,
175,110,2000,1000,260031035,141414,4146,482,722,0,0,,
239,124,776,15000,186739919,333248,20553,1159,2000,19000,0,,
237,123,610,10000,215397307,242188,11930,1426,794,0,0,,
231,130,249,784,182618434,133076,2684,779,638,0,0,,
262,92,167,11000,131920333,213275,15302,436,2000,0,0,,
552,127,0,774,124976634,440084,2121,755,358,122000,1,,
276,123,160,12000,115802596,182661,14017,681,701,0,0,,
267,123,521,13000,108521835,40123,13752,297,365,31000,1,,
102,107,368,2000,100685880,100821,4046,554,1000,0,0,,
775,124,0,13000,126464904,456260,24098,2326,9000,97000,1,,
71,77,50,886,64736114,36471,2682,69,799,459,0,,
476,109,662,13000,93050117,338087,17689,814,2000,61000,1,,
207,134,123,14000,57637485,183909,17159,666,850,0,1,,
492,117,294,10000,58607007,182899,14161,630,2000,60000,0,,
284,135,0,690,43929341,57873,902,414,107,0,0,,
168,121,274,273,30212620,35066,993,196,216,0,0,,
283,117,446,10000,76418654,148280,12731,348,973,11000,0,,
539,124,364,11000,89021735,387436,22004,892,10000,71000,1,,
359,140,0,20000,380262555,520104,44042,3286,16000,10000,1,,
284,142,0,20000,310675583,464310,42990,3516,16000,0,1,,
250,92,0,12000,289907418,585659,15013,593,1000,0,1,,
440,138,446,20000,132550960,328067,23755,533,992,68000,1,,
320,136,0,20000,474544677,534658,37723,3597,14000,13000,1,,
257,98,16,16000,187165546,150618,43286,195,15000,28000,1,,
33,116,0,936,48468407.53,20567,1609,36,276,291,0,,
152,153,610,12000,40911830,55994,15046,454,836,0,0,,
231,120,19,26000,47952020,37750,46719,134,11000,16000,0,,
348,101,473,833,190871240,167085,2690,491,809,62000,0,,
738,91,0,39,274084951,582917,87,1885,23,147000,1,,
93,108,79,650,67155742,62271,1569,277,293,0,0,,
181,112,13,5000,81638674,17533,8306,115,833,12000,0,,
369,100,128,596,56114221,110486,1261,695,360,41000,0,,
179,108,189,49000,250863268,234480,55486,444,3000,3000,0,,
358,114,62,12000,155181732,147497,16718,499,2000,52000,0,,
160,119,55,811,125332007,149680,2958,328,766,0,1,,
192,142,776,13000,113330342,207613,19454,1144,2000,4000,1,,
198,125,0,11000,125531634,284852,19359,627,8000,0,0,,
233,126,218,11000,186336103,348861,22722,798,11000,0,1,,
263,119,124,14000,129995817,154621,22622,258,5000,27000,0,,
267,170,17000,29000,102608827,264318,34582,799,3000,0,1,,
184,85,11,480,42776259,53160,1173,121,392,0,0,,
447,119,1000,11000,98780042,136019,13391,443,1000,14000,0,,
29,60,686.509212,669,48468407.53,25402,1655,97,554,0,1,,
366,102,263,6000,106369117,225273,10583,523,1000,71000,0,,
172,103,67,383,142614158,66593,692,153,113,31000,0,,
104,76,6,12000,50026353,13581,13607,88,513,304,0,,
181,120,124,6000,66002193,44296,12452,144,5000,12000,0,,
327,127,189,20000,85463309,254841,22254,426,929,36000,1,,
125,105,67,681,71017784,27257,914,59,71,0,0,,
79,121,101,673,48068396,60573,2027,248,368,894,0,,
326,114,151,11000,61656849,184561,12908,554,635,123000,1,,
354,129,235,13000,134520804,336235,13961,782,300,0,1,,
297,171,0,16000,313837577,1238746,22342,5060,5000,21000,1,,
188,120,153,1000,24004159,68720,3175,191,1000,0,0,,
174,165,0,10000,58183966,79186,14196,386,851,0,1,,
109,82,34,760,100446895,36033,2762,456,743,946,0,,
225,115,295,10000,144795350,387632,12068,789,981,0,1,,
239,194,0,14000,47396698,217373,19600,942,5000,0,1,,
101,84,50,979,140015224,94172,3382,179,886,0,0,,
228,97,63,852,104374107,89351,2480,214,578,5000,1,,
568,151,0,13000,228430993,472488,14831,1023,801,153000,1,,
140.194272,22,0,5,48468407.53,6,5,272.770808,1651.754473,0,1,,
257,136,0,19000,35799026,263329,34839,899,12000,0,1,,
62,104,23,752,6712451,4102,3133,89,631,53,0,,
175,127,57,12000,101643008,218341,29069,498,11000,0,1,,
265,171,0,3000,187670866,982637,6521,2368,933,21000,1,,
252,145,14000,10000,132014112,399651,12546,1331,798,0,1,,
232,174,0,11000,261970615,387616,35672,858,10000,0,1,,
400,144,258,6000,167007184,470483,9125,2301,1000,0,1,,
230,119,13000,1000,180011740,177725,2776,1368,658,0,0,,
210,153,0,780,204843350,744891,2829,983,604,13000,1,,
357,140,0,40000,97030725,230931,64599,585,23000,0,1,,
300,176,0,18000,130127620,324671,20354,458,782,0,1,,
94,141,0,2000,146282411,190439,4528,351,1000,0,1,,
267,106,12000,18000,65452312,149998,19906,285,464,0,0,,
180,98,80,22000,148383780,85531,24082,152,713,0,0,,
265,116,285,12000,119219978,189806,20233,316,8000,16000,1,,
81,115,55,1000,101228120,84424,3454,131,773,0,0,,
765,165,16000,29000,162804648,955174,40978,1193,11000,199000,1,,
80,91,21,2000,100117603,102933,4842,230,700,0,1,,
141,78,10,558,89296573,128285,2039,297,452,0,1,,
383,103,165,26000,85017401,246803,57881,474,13000,108000,1,,
193,131,226,12000,173005002,255447,13679,692,625,0,1,,
170,104,14,3000,75030163,108076,4487,1690,762,0,0,,
333,101,0,925,77222184,87677,1738,388,468,11000,1,,
256,111,456,20000,34964818,39956,21393,186,548,24000,0,,
203,102,77,14000,107515297,85833,14552,113,151,17000,1,,
321,103,207,40000,67631157,176598,55175,374,11000,25000,0,,
174,121,0,1000,66862068,89509,3903,524,1000,2000,0,,
166,143,380,29000,57366262,400292,33160,657,3000,14000,1,,
606,240,17000,29000,116866727,780588,46057,1138,11000,138000,1,,
144,121,541,920,184031112,190786,2880,539,710,0,0,,
192,129,719,660,54700065,221521,2031,1049,475,0,1,,
511,172,670,15000,27098580,284825,22686,828,5000,124000,1,,
188,101,0,2000,55673333,65785,4286,160,653,16000,1,,
212,87,26,827,40198710,87451,3144,660,825,0,0,,
245,101,420,12000,72660029,115687,16235,269,3000,21000,0,,
127,95,63,23000,38120554,71527,26940,217,770,0,1,,
167,102,52,8000,49392095,52029,10552,224,735,0,0,,
320,131,385,26000,39292022,127258,52610,351,13000,56000,0,,
163,114,19,1000,28772222,33953,3962,163,897,37000,0,,
78,94,6,490,17010646,40751,1195,239,294,881,0,,
289,122,2000,26000,24985612,71782,28328,161,911,27000,1,,
66,95,31,3000,4411102,20295,6161,164,695,416,0,,
266,115,521,13000,35024475,110364,13761,261,537,0,1,,
208,88,20,144,130174897,27918,309,155,42,33000,1,,
97,110,342,623,10200000,18697,1722,263,508,578,1,,
202,130,208,12000,202007640,248045,15972,890,3000,0,0,,
233,216,17000,29000,77679638,314033,47657,1166,14000,0,1,,
136,146,611,23000,9213,38690,23240,130,196,13000,1,,
154,85,9,12000,58867694,54077,25590,112,11000,0,1,,
169,93,0,11000,59475623,49739,13748,407,2000,0,0,,
200,152,0,2000,108638745,292022,4270,1103,820,10000,1,,
255,85,116,8000,86897182,106790,9271,177,331,18000,0,,
173,126,0,14000,63540020,343274,39319,742,13000,18000,1,,
221,146,127,962,95328937,59581,4555,293,740,0,0,,
82,89,10,2000,50802661,58300,3372,139,919,0,1,,
233,88,20,22000,161317423,145321,25354,139,1000,14000,1,,
343,105,0,2000,201148159,103737,4671,322,520,56000,1,,
308,135,0,873,43982842,125109,2370,593,560,16000,1,,
301,100,475,1000,380838870,692482,5641,866,939,11000,1,,
328,192,0,5000,377019252,1215718,6434,3189,857,16000,1,,
294,172,0,16000,340478898,1100446,23052,2417,5000,10000,1,,
175,102,44,12000,17176900,54501,17098,154,3000,16000,0,,
199,100,165,11000,131144183,157016,12150,824,509,0,0,,
355,119,0,40000,23014504,172707,54031,462,11000,37000,0,,
198,92,394,693,181166115,219501,2574,1236,595,0,0,,
529,105,81,11000,176740650,403836,13118,646,1000,47000,1,,
198,107,70,770,71148699,68935,1614,125,419,0,1,,
412,101,212,13000,67344392,165618,15481,503,787,66000,0,,
106,137,102,2000,22406362,16832,5780,267,973,701,0,,
283,115,663,1000,261437578,479166,1901,815,723,0,1,,
61,124,212,1000,11000000,21102,3611,169,903,1000,0,,
217,118,0,8000,88761720,141179,14024,419,3000,9000,0,,
175,98,188,10000,250147615,403014,12998,289,826,0,1,,
191,82,487,15000,245823397,385871,21275,515,1000,0,1,,
316,98,12000,18000,81557479,149947,25780,326,3000,18000,1,,
127,90,420,191,226138454,160440,664,394,165,0,1,,
185,130,0,11000,155370362,98403,12890,683,627,0,1,,
191,90,97,622,124870275,152601,1227,156,526,0,1,,
188,94,107,835,196573705,166791,1258,132,256,0,1,,
362,114,0,3000,58229120,236421,5095,515,806,70000,1,,
181,94,368,13000,125305545,145350,15419,643,1000,0,0,,
352,151,17000,29000,132373442,873649,45648,2054,13000,29000,1,,
143,88,7,2000,120618403,171792,4478,222,500,12000,1,,
308,121,0,21000,110416702,307539,23484,577,1000,0,1,,
517,158,21000,18000,102515793,330152,20388,632,1000,54000,1,,
148,128,323,13000,100012500,299258,14274,346,559,0,1,,
415,128,0,21000,209019489,477300,23996,621,979,20000,1,,
1,141,335,11000,48468407.53,57,13379,1,745,0,0,,
146,95,21,12000,84037039,72591,15237,289,802,0,1,,
70,92,12,35000,85884815,9418,38450,53,1000,0,0,,
269,121,0,10000,83077470,183247,14165,440,1000,0,1,,
198,113,221,11000,100018837,156348,13446,380,600,0,0,,
253,106,0,22000,78747585,89770,35367,342,11000,39000,0,,
281,146,14000,3000,78616689,238747,6217,2153,882,11000,1,,
122,88,50,691,75817994,32049,2622,179,569,988,0,,
159,150,0,11000,100853835,200556,12289,611,1000,15000,1,,
180,119,719,833,73209340,101834,2356,628,624,0,0,,
227,128,521,591,72515360,86152,2100,411,249,0,0,,
183,106,87,8000,68558662,86627,10882,204,956,28000,0,,
157,117,101,18000,65653758,102747,33154,316,11000,0,0,,
196,129,209,11000,64685359,40862,23031,139,11000,15000,1,,
64,116,176,192,61355436,52136,475,184,117,0,0,,
142,114,12000,11000,26871,121259,12499,361,577,0,1,,
181,114,0,3000,60874615,60467,4902,949,933,0,0,,
240,96,107,11000,143618384,165333,12071,186,560,19000,1,,
93,132,0,49000,58220776,87785,55254,362,1000,0,1,,
84,104,81,3000,47474112,58227,5062,181,643,2000,0,,
66,111,79,11000,42877165,45602,26088,114,11000,979,0,,
136,138,0,14000,35168677,49311,15149,278,602,0,1,,
369,100,128,596,56114221,110486,1261,695,360,41000,0,,
166,129,468,919,37567440,113065,2024,337,691,0,1,,
201,144,2000,680,61644321,148238,2523,529,655,0,1,,
47,110,96,887,190562,2508,2728,24,886,788,0,,
175,140,378,12000,120147445,57661,13808,455,947,0,1,,
114,113,101,22000,241688385,144053,26239,395,946,0,0,,
187,106,357,23000,144512310,272223,45327,988,14000,14000,1,,
221,143,0,15000,233630478,394317,15838,1051,410,23000,1,,
206,108,750,49000,197992827,132501,70996,548,20000,0,1,,
239,108,521,13000,176049130,348232,14161,806,805,0,1,,
142,124,249,11000,172620724,146134,23603,393,10000,0,0,,
186,116,0,11000,183405771,402645,13028,845,1000,0,1,,
228,110,545,14000,20315324,88542,27694,254,8000,19000,0,,
256,91,266,12000,148313048,164148,37142,168,11000,28000,1,,
222,107,36,283,127706877,142496,662,399,142,0,1,,
103,44,686.509212,544,48468407.53,159910,996,270,183,59000,1,,
298,115,79,18000,126149655,166693,36237,276,16000,19000,1,,
84,100,36,2000,66941559,26413,4182,77,795,372,0,,
236,104,420,2000,78009155,110073,3768,194,906,0,0,,
157,138,278,14000,63224849,182757,17423,483,3000,19000,1,,
81,140,12000,10000,111544445,188116,11951,415,660,0,1,,
187,120,278,11000,112703470,69860,15226,214,2000,0,1,,
238,122,0,14000,117144465,256928,43499,288,13000,0,1,,
107,83,28,4000,84303558,65270,6081,100,650,863,0,,
459,139,168,14000,150832203,341058,22226,713,5000,49000,1,,
187,131,218,5000,51396781,188887,5103,662,35,0,1,,
151,104,532,12000,47592825,82731,16930,255,3000,0,1,,
80,130,323,670,50016394,106528,2407,257,442,0,0,,
229,145,252,879,57010853,119286,2380,548,691,0,1,,
158,104,681,584,62494975,179500,1235,378,227,0,0,,
190,97,6,1000,46440491,35446,2707,78,579,0,1,,
98,178,102,12000,44606335,169023,23950,703,11000,10000,1,,
135,108,99,672,40048332,61417,1460,339,174,941,0,,
84,123,189,813,48468407.53,19228,1476,146,388,0,1,,
382,106,763,8000,64933670,70838,11454,208,886,18000,0,,
393,112,1000,10000,31494270,273921,12687,522,1000,36000,1,,
149,135,36,894,31111260,77029,1439,466,345,0,0,,
94,109,88,611,123307945,39391,2818,171,592,374,0,,
138,86,67,4000,153288182,71424,6355,521,2000,0,0,,
432,95,38,409,13401683,203458,578,588,107,46000,1,,
173,107,153,11000,137340146,246492,12700,685,1000,7000,0,,
127,130,0,875,48468407.53,29932,2662,211,826,0,1,,
91,82,62,975,43575716,10233,3326,63,760,0,0,,
238,88,218,17000,80170146,243053,21863,488,4000,0,0,,
345,120,0,3000,75754670,208422,3632,342,169,3000,1,,
377,162,21000,21000,33048353,301279,36928,589,15000,12000,1,,
170,123,55,3000,34543701,100001,5839,289,975,0,0,,
191,101,293,11000,242589580,296904,21276,604,7000,0,1,,
424,113,13000,26000,102981571,270226,46355,741,13000,57000,1,,
154,110,0,10000,180965237,300542,12760,378,1000,0,1,,
673,142,378,34000,407999255,701607,49942,1959,14000,140000,1,,
383,102,480,14000,254455986,375879,16143,402,670,56000,1,,
153,126,13000,920,162831698,215255,2899,610,811,0,1,,
166,83,12,13000,155019340,127345,22813,250,7000,0,1,,
180,85,255,1000,145771527,117212,3112,367,533,0,1,,
120,97,56,12000,82506325,27838,23907,102,8000,0,0,,
125,120,75,11000,140459099,135601,22750,493,4000,0,0,,
234,116,23,13000,53215979,125036,25220,205,12000,22000,1,,
134,113,88,11000,158115031,130070,13693,316,437,0,0,,
91,87,31,1000,133103929,22838,4073,56,1000,0,0,,
139,101,221,12000,133668525,107817,39269,255,11000,14000,0,,
265,110,88,13000,130313314,168172,44798,380,12000,0,1,,
145,128,278,18000,124590960,91092,22679,402,4000,0,1,,
490,138,17000,29000,127968405,786092,29585,964,223,53000,1,,
141,88,91,4000,120136047,48500,9913,124,3000,0,0,,
163,91,77,1000,128200012,103022,1804,269,311,0,0,,
155,138,610,12000,112225777,283967,17087,535,1000,11000,1,,
144,99,163,11000,109993847,72326,12831,116,869,0,0,,
