Col1,Col2,Col3,Col6,Col7,Col8,Col10,Col13,Col15
0,0,90,8588,4716,3320,15884,7283,0
0,0,90,256616,94368,9804,21725,10344,0
0,0,77,22853,28961,15257,9137,4478,0
0,0,81,8661,9095,13028,19006,12102,0
0,0,70,91553,23931,4921,2296,2779,0
0,0,77,580030,148325,74965,35966,11601,0
0,0,84,130837,14436,2265,2396,4698,0
0,0,75,336749,98427,5398,14124,14227,0
0,0,77,49279,28636,10777,11151,6417,0
0,0,84,95437,10987,2892,1401,3145,0
0,0,94,123433,5574,1187,7270,12424,0
0,0,100,71080,19794,7458,19058,14815,0
0,0,100,74424,17236,15576,22499,15802,0
0,0,100,58860,37401,16918,26403,16582,0
0,0,75,90015,79586,8334,21724,12945,0
0,0,88,8750,7072,6765,6611,33128,0
0,0,81,201217,6587,1702,1257,4106,0
0,0,88,4210,17350,3735,8083,46190,0
0,0,100,28452,1945,20942,10248,16394,0
0,0,87,234771,36139,6234,13457,10461,0
0,0,90,15374,12260,6754,22124,10828,0
0,0,80,2290,10386,11038,13794,6077,0
0,0,83,180405,10058,6596,8674,10480,0
0,0,77,91061,25916,8048,3602,4987,0
0,0,80,2444,31376,5928,18689,9840,0
0,0,75,226325,38577,8621,27438,11386,0
0,0,64,118368,81821,12732,11768,23044,0
0,0,75,68646,72933,5920,11564,13864,0
0,0,66,78277,51955,6472,6305,15218,0
0,0,69,242073,136113,13608,21984,18555,0
0,0,77,191409,35892,13636,6434,9597,0
0,0,81,5247,19363,4172,4894,22841,0
0,0,87,116823,56636,7451,21773,17925,0
0,0,77,394683,87005,1813,3258,7630,0
0,0,69,103090,121688,29001,15391,24347,0
0,0,56,324348,139729,20064,10331,7892,0
0,0,57,19068,13035,7706,12924,12807,0
0,0,60,306695,63394,2697,6966,3731,0
0,0,57,797316,27368,5775,19576,3229,0
0,0,60,41953,55404,14562,6794,23343,0
0,0,54,35567,29703,8135,15414,14977,0
0,0,60,147162,17452,1902,1710,1787,0
0,0,63,238338,84260,25800,23783,29906,0
0,0,69,5290,17561,8723,4450,10289,0
0,0,75,10372,19895,2260,18461,13300,0
0,0,88,8669,9611,3755,9852,6985,0
0,0,84,158064,49690,26428,4899,8286,0
0,0,87,5655,3495,8717,12292,12990,0
0,0,70,453092,42420,4002,2331,1175,0
0,0,67,7071,13836,6204,5014,16944,0
0,0,66,189432,93096,56068,18651,14499,0
0,0,60,12813,19064,20174,10252,32072,0
0,0,70,356574,28199,55720,8058,41135,0
0,0,54,498323,111289,6538,6092,5202,0
0,0,63,343853,103026,6198,21356,14112,0
0,0,57,349601,104400,25953,25130,14154,0
0,0,51,354627,30185,12524,9053,3046,0
0,0,67,564242,140222,31154,30095,18512,0
0,0,51,655645,90881,51657,10240,12219,0
0,0,48,162741,14524,8462,3479,3273,0
0,0,54,127555,44482,21549,35485,47922,0
0,0,40,621932,119673,18490,16178,9739,0
0,0,38,2521371,433788,228893,108535,34900,0
0,0,38,482325,6062,5419,1904,1367,0
0,0,21,2197150,310845,78556,23904,32799,0
0,0,20,144623,76003,31174,14408,14990,0
0,0,21,748194,119448,15397,5250,16081,0
0,0,24,1139671,115395,147609,15904,13977,0
0,0,26,2723077,269807,36989,75587,26529,0
0,0,26,811696,155624,121384,22563,16027,0
0,0,29,1052039,144155,48221,19691,12496,0
0,0,24,2251456,578610,37462,35198,58174,0
0,0,34,2514836,89905,42659,55290,26482,0
0,0,30,1827581,169756,556251,51900,67511,0
0,0,29,2030223,293889,124693,48841,12308,0
0,0,24,946374,134512,32208,4270,7154,0
0,0,13,735302,135645,14433,8000,8241,0
0,0,13,2004390,1031826,125083,77074,84108,0
0,0,13,500702,134751,4368,35046,19022,0
0,0,17,93861,54928,24251,3551,2973,0
0,0,26,1960707,312717,197014,32096,34694,0
0,0,21,2708043,507360,109523,50581,30864,0
0,0,23,1000754,140243,28477,4164,6094,0
0,0,21,1055442,546016,58607,11200,16986,0
0,0,23,1850490,256988,80487,65090,19027,0
0,0,34,1070340,128811,54004,9190,2875,0
0,0,34,1136743,75230,58180,28324,5618,0
0,0,35,148800,14999,6717,3813,2236,0
0,0,41,177702,80465,10347,6486,8714,0
0,0,44,658847,54472,8759,11340,4323,0
0,0,50,649385,87338,3157,6734,5517,0
0,0,48,199370,88345,11875,5622,8635,0
0,0,47,481555,204302,25220,49244,22923,0
0,0,20,1259232,833640,95490,33732,16621,0
0,0,21,744091,337196,5143,23705,14853,0
0,0,13,1038445,199679,374,23214,11279,0
0,1,47,587813,276755,47356,18425,6949,1
0,1,48,264810,7319,1347,1754,1271,1
0,1,56,1817666,259465,22213,69577,29641,1
0,1,50,821687,143836,33747,40563,9265,1
0,1,40,242816,146001,50443,9570,11630,1
0,1,34,959252,112919,6242,6310,4350,1
0,1,23,922691,333224,184451,13783,32400,1
0,1,21,169733,52272,12774,5475,5557,1
0,1,27,1202987,161495,77222,20339,16799,1
0,1,37,33577,11125,7648,648,980,1
0,1,44,63133,12756,12818,2044,1109,1
0,1,35,676343,826317,76939,62740,14775,1
0,1,29,1162415,649500,129777,90690,33277,1
0,1,29,288236,121,25,694,81,1
0,1,29,74528,44871,2788,992,748,1
0,1,29,545366,160277,304340,22182,15992,1
0,1,14,298313,234443,27649,12836,15167,1
0,1,10,182939,100926,875,23134,6447,1
0,1,21,379931,91727,7973,12517,10394,1
0,1,17,43644,33058,4270,1914,1477,1
0,1,26,398425,84511,34219,18914,8938,1
0,1,35,443092,72962,37050,29177,4145,1
0,1,44,1082479,21918,3740,6225,6944,1
0,1,51,1068753,262454,42871,19254,24895,1
0,1,60,194450,29385,18535,3559,3797,1
0,1,43,610881,170524,25664,23860,6949,1
0,1,26,169314,33288,6966,3375,2417,1
0,1,16,654419,116539,50959,11432,5190,1
0,1,7,1131002,300616,52970,41347,9744,1
0,1,10,292247,64972,982,1654,873,1
0,1,29,88054,7479,1452,1812,1034,1
0,1,44,1262195,354375,11297,33118,17724,1
0,1,44,1220490,423369,95835,38255,19116,1
0,1,67,101383,57893,3210,36472,17528,1
0,1,64,255715,28712,14734,3653,2306,1
0,1,66,458250,21843,6774,3937,6375,1
0,1,57,49369,35622,1383,718,1904,1
0,1,54,993562,124854,15999,28511,14474,1
0,1,44,258503,290570,52426,38262,18919,1
0,1,43,94366,57081,2664,2510,7145,1
0,1,48,248770,247662,138823,23601,42517,1
0,1,41,2206606,221162,67257,62384,8459,1
0,1,57,139264,29319,10090,21991,16866,1
0,1,53,735766,158608,86087,34017,23909,1
0,1,66,318032,89032,20928,9927,23216,1
0,1,74,1078285,16225,8291,4196,3705,1
0,1,50,240769,454835,31885,8178,15239,1
0,1,56,2311485,139933,32682,13552,14664,1
0,1,47,635374,114038,16095,16733,4277,1
0,1,48,557205,66769,21612,17787,25209,1
0,1,51,267453,184135,25709,16390,7065,1
0,1,50,1578372,211963,32371,17628,52263,1
0,1,56,338610,111379,4459,14254,10775,1
0,1,47,2561495,108093,60186,27369,8504,1
0,1,54,620989,109861,37278,18989,15870,1
0,1,50,1619267,77483,68454,27901,19057,1
0,1,50,716119,154465,74192,29154,48516,1
0,1,51,337561,119085,32630,24543,41705,1
0,1,43,682102,109504,17918,13661,4981,1
0,1,47,592990,39088,12492,1778,8665,1
0,1,44,1028511,204681,51497,25237,34720,1
0,1,27,377645,250983,49847,16579,10354,1
0,1,26,1511816,464244,49478,47575,84001,1
0,1,23,361594,57607,91397,4539,17051,1
0,1,30,388042,20087,14346,4024,4293,1
0,1,47,2288027,109429,98931,40445,23723,1
0,1,66,723623,72046,52744,7535,22214,1
0,1,60,1803415,168946,16540,16075,2623,1
0,1,51,1683654,191088,82872,17686,36011,1
0,1,47,1020271,64421,22536,8987,4234,1
0,1,30,339093,340248,29360,32236,21770,1
0,1,30,299478,214094,16968,3987,6784,1
0,1,29,265760,61614,4673,8926,4157,1
0,1,26,3224853,632673,81694,44880,26401,1
0,1,37,814434,36478,52762,33132,32489,1
0,1,54,501266,124397,11790,30225,23202,1
0,1,47,609468,208344,26400,14868,5298,1
0,1,43,539017,520466,48659,18712,23760,1
0,1,30,99011,52648,20434,8641,4347,1
0,1,14,557661,97560,6846,22440,3154,1
0,1,34,1206062,73226,3660,9518,24916,1
0,1,53,564672,14166,7096,5627,5944,1
0,1,48,747531,429929,26951,11404,16807,1
0,1,60,863283,571820,65454,40195,14776,1
0,1,50,1240833,171580,93214,20174,15396,1
0,1,35,585832,247339,33617,21322,26106,1
0,1,54,1230740,165605,26158,19701,12727,1
0,1,37,1152797,596751,31288,20244,11239,1
0,1,30,693655,388761,42547,24668,6524,1
0,1,29,1314046,36097,13028,38636,1836,1
0,1,17,906115,35721,9248,3593,4098,1
0,1,20,307411,741874,4955,33489,7727,1
0,1,13,1134470,156265,78965,7883,18831,1
0,1,10,1303918,170981,68438,55637,19298,1
0,1,14,1995158,95757,33140,49735,19646,1
0,1,38,1057077,85253,23782,29616,25595,1
0,1,43,983561,408268,73047,14162,43369,1
0,1,57,858523,17381,8223,5337,5682,1
0,1,51,2069695,223964,11762,41416,26584,1
0,1,51,554161,106207,6868,31749,21367,1
0,1,51,689724,62806,29248,24013,9335,1
0,1,34,1291215,638300,29990,56159,12457,1
0,1,43,1719844,76689,14608,27039,18163,1
0,1,47,1575458,237953,5693,57734,17152,1
0,1,60,132968,113111,55545,6927,27135,1
0,1,77,1519635,76825,75922,37803,19546,1
0,1,67,89000,11385,1978,1392,930,1
0,1,57,570562,45285,18556,14590,3321,1
0,1,56,2265864,153168,48422,57577,19970,1
0,1,47,212076,21114,17835,13397,4629,1
0,1,57,276346,10235,3729,11462,1369,1
0,1,57,954237,104706,85620,41829,24707,1
0,1,61,458519,6869,1475,10522,4987,1
0,1,66,331824,56589,4705,26361,4995,1
0,1,53,614483,132021,42789,34643,21086,1
0,1,56,775495,109467,56108,10541,8326,1
0,1,53,521186,256000,119940,44827,35749,1
0,1,44,267524,341793,36204,27945,18213,1
0,1,47,607486,580457,96042,30794,11915,1
0,1,63,373095,30901,28269,17949,11028,1
0,1,53,307985,8747,6416,2916,2909,1
0,1,54,1402862,54725,1920,7149,3769,1
0,1,56,317402,61957,69160,36534,6240,1
0,1,34,1616326,302720,31402,67674,30642,1
0,1,38,1175382,58708,11519,7594,7952,1
0,1,38,360184,224520,47677,21971,41282,1
0,1,38,598258,57377,5344,6207,5113,1
0,1,48,549453,51953,16352,32285,8389,1
0,1,48,80266,9265,1709,1422,688,1
0,1,41,252133,133048,23953,28158,9008,1
0,1,51,15831,67143,12999,11209,12793,1
0,1,53,312566,96522,6582,40151,9319,1
0,1,61,253613,61890,25406,21099,25197,1
0,1,66,535618,165093,1163,25952,21174,1
0,1,47,231002,200732,5391,6965,5718,1
0,1,51,499908,42130,36219,139036,8032,1
0,1,43,251771,18081,5946,1848,6987,1
0,1,48,844376,130031,7796,9620,17166,1
0,1,60,55394,93813,16215,15376,11195,1
0,1,69,98828,35851,1396,8253,10889,1
0,2,44,118962,35777,3854,12730,65465,1
0,2,47,61533,17993,4553,1734,1459,1
0,2,43,1135427,402497,46213,7967,25079,1
0,2,54,235695,102525,1456,11505,5416,1
0,2,43,2848708,397971,52378,13967,23637,1
0,2,35,186107,78223,14794,7364,2243,1
0,2,50,2036643,25755,30760,15675,16413,1
0,2,38,710161,64002,10121,2594,3115,1
0,2,44,168730,54384,60865,10014,26739,1
0,2,51,1985144,283779,19638,26001,27534,1
0,2,41,904196,152170,49441,24169,33050,1
0,2,54,247297,8311,548,1209,694,1
0,2,53,1008129,198877,56904,70149,14868,1
0,2,56,823893,56692,84799,24657,11066,1
0,2,57,464677,309655,55752,28579,22083,1
0,2,57,133515,5862,2644,2226,1963,1
0,2,54,867617,55330,6407,5406,4558,1
0,2,51,929900,196222,21439,23135,23349,1
0,2,40,1153360,783611,19839,11677,12006,1
0,2,35,127002,45875,9664,5377,3549,1
0,2,37,275129,89135,5426,5094,10614,1
0,2,43,2978240,159306,13208,83776,24091,1
0,2,64,451504,23250,24578,21600,20450,1
0,2,56,494782,28798,10638,5385,6161,1
0,2,63,339338,13943,23612,21081,19847,1
0,2,53,486083,109325,13794,11184,6631,1
0,2,38,549681,106439,11864,16751,3074,1
0,2,41,250803,48691,18692,8448,2891,1
0,2,27,614219,138140,75529,18700,24833,1
0,2,35,204178,173732,32735,20264,14410,1
0,2,44,907536,40438,9688,18222,14989,1
0,2,43,336364,29034,16584,8153,7199,1
0,2,48,719432,136470,22849,57671,11839,1
0,2,44,517832,190650,30935,40893,16228,1
0,2,35,302262,121967,37910,31155,8264,1
0,2,41,399229,32563,22532,33816,11871,1
0,2,41,1125317,56245,7020,2520,3206,1
0,2,60,33816,17018,14135,37769,20032,1
0,2,56,508249,269159,37315,18574,20191,1
0,2,43,892327,416229,3477,36956,37080,1
0,2,47,205572,135638,21886,21233,7053,1
0,2,54,68627,4262,5972,7030,4154,1
0,2,69,195743,49887,3545,15718,11028,1
0,2,78,1209174,98934,5631,38215,20822,1
0,2,88,859875,16968,5844,14326,7961,1
0,2,61,586117,133890,13188,18809,4889,1
0,2,43,197289,106762,16193,5375,3827,1
0,2,37,531940,214509,29704,26763,23184,1
0,2,16,2068566,249309,21132,33639,23036,1
0,2,26,1091641,132564,53565,22596,16303,1
0,2,37,1648631,82781,49654,30366,22544,1
0,2,44,355514,102255,12718,21497,21870,1
0,2,50,265331,53495,3665,4430,3523,1
0,2,51,276560,53874,24715,24365,10911,1
0,2,54,37179,24734,43774,15269,8638,1
0,2,54,198256,82231,2868,22988,18855,1
0,2,64,36671,20572,19434,24980,10927,1
0,2,77,2051263,31205,2407,16344,15954,1
0,2,60,297260,115707,37905,5812,3767,1
0,2,70,917135,68137,11830,23570,21761,1
0,2,43,483189,961497,14292,35208,7400,1
0,2,29,442249,236418,54379,28425,23108,1
0,2,51,876316,238990,36845,72128,45182,1
0,2,37,597515,166776,34563,18597,13178,1
0,2,50,728149,94283,37360,14218,6166,1
0,2,37,426515,271559,5892,11288,14395,1
0,2,24,263737,138787,21711,7554,15610,1
0,2,35,672813,48948,18336,7673,14700,1
0,2,27,1210141,296242,28873,12554,8306,1
0,2,38,98068,184501,23526,21248,22192,1
0,2,44,3107198,153275,36732,36105,18134,1
0,2,34,193180,563802,146913,63878,30470,1
0,2,47,292138,90269,68571,48713,7757,1
0,2,38,79924,20508,4266,4327,3185,1
0,2,35,156033,36944,5542,7332,5329,1
0,2,43,1527858,140602,57784,10505,10150,1
0,2,41,410550,229162,20110,27246,6944,1
0,2,48,17735,15564,3999,1871,1199,1
0,2,41,969095,109319,67826,25169,13789,1
0,2,34,171415,98627,6469,3342,8535,1
0,2,21,299578,231825,20258,22994,25202,1
0,2,8,362199,391857,35424,25106,7682,1
0,2,8,1455843,522663,13216,221211,16766,1
0,2,4,1983382,877142,400302,81564,25785,1
0,2,3,3958185,418117,14031,73362,38203,1
0,2,11,1805696,79282,31640,5588,7753,1
0,2,21,1415457,521535,163758,107312,29509,1
0,2,26,672789,330698,38169,52043,37758,1
0,2,30,1620852,249405,29986,6730,4471,1
0,2,34,130005,69985,7943,12532,4807,1
0,2,38,110571,30764,10149,1442,4736,1
0,2,40,494873,479917,325402,36042,41779,1
0,2,47,2727720,418146,97108,81053,53480,1
0,2,43,1565518,207750,14342,30150,14718,1
0,2,38,1165858,124675,38490,8588,9829,1
0,2,38,329519,216166,112655,54211,66255,1
0,2,35,1240023,55210,413,16591,6260,1
0,2,34,333081,135761,3688,3184,4684,1
0,2,41,462407,137410,53466,28435,19324,1
0,2,40,704582,368860,29763,11687,7711,1
0,2,35,548809,379837,22643,33399,35489,1
0,2,37,39565,23315,4450,3810,1351,1
0,2,35,294779,36988,27042,3399,8006,1
0,2,35,661881,8198,31029,4886,5455,1
0,2,44,828933,91298,3243,12468,6356,1
0,2,56,265867,33318,25935,12364,20595,1
0,2,48,762383,347390,1521,22832,24019,1
0,2,57,19343,7747,54208,7017,14666,1
0,2,50,143668,19422,1310,3914,1028,1
0,2,43,544260,163218,23952,4693,27578,1
0,2,44,396174,255427,17809,42781,27533,1
0,2,30,514500,260568,143456,63282,7585,1
0,2,47,2169745,113364,33219,16036,19542,1
0,2,47,942896,49883,5763,11631,8277,1
0,2,53,395636,56715,2287,4513,4860,1
0,2,63,752967,69128,3111,5496,5723,1
0,2,60,1099000,30828,16492,4095,4887,1
0,2,51,235474,35439,4362,1926,1090,1
0,2,44,447050,54271,2402,5509,7883,1
0,2,48,312746,26790,16669,7196,3462,1
0,2,43,197037,23819,1432,818,524,1
0,2,60,612651,118931,620,10031,38463,1
0,2,69,971265,143008,40532,48327,22025,1
0,2,70,420608,37299,18350,6161,14008,1
0,2,66,513617,137338,19647,12701,3396,1
0,2,50,33210,16530,6343,4254,864,1
0,2,48,173226,110828,19384,65372,23588,1
0,2,38,1860328,83733,20991,8268,4920,1
0,2,35,994099,520626,98266,27468,20062,1
0,2,40,104444,69947,9242,1772,2408,1
0,2,20,105758,47298,10248,1763,617,1
0,2,17,1093038,79549,7390,9368,2756,1
0,2,30,289826,104523,29107,12635,29431,1
0,2,38,365723,66019,31642,28890,30232,1
0,2,50,310703,83332,17165,5407,10279,1
0,2,60,83010,80984,6601,19459,13873,1
0,2,47,345838,21048,7091,4607,1460,1
0,2,44,118224,22904,4501,2398,1646,1
0,2,50,870781,152784,14913,13866,21344,1
0,2,50,133598,29572,15199,10481,10663,1
0,2,57,255333,25867,5055,2495,3831,1
0,2,61,137778,17915,1096,5678,2100,1
0,3,20,399799,14845,12363,2734,3935,0
0,3,29,493247,29820,23621,3653,7009,0
0,3,29,639083,101213,31698,4102,5433,0
0,3,41,223451,16512,1289,1649,2002,0
0,3,40,505104,24108,27102,1132,3311,0
0,3,48,1628123,76538,22829,26255,19891,0
0,3,54,701250,64411,83100,12834,21805,0
0,3,47,249558,40494,7142,3606,2489,0
0,3,54,1352220,79526,7610,14995,7154,0
0,3,38,1860820,1698512,85696,174228,80743,0
0,3,24,528085,551417,173141,26967,14000,0
0,3,26,396343,65531,556,3100,5585,0
0,3,14,1365966,38587,29399,4035,9059,0
0,3,20,1251910,205310,55802,13106,33928,0
0,3,34,619001,45797,7330,15606,4712,0
0,3,23,2307774,1441074,207229,139209,112579,0
0,3,10,379162,46106,28880,3759,2061,0
0,3,4,1488533,799680,63061,144480,48070,0
0,3,1,1550187,631137,86393,28952,42585,0
0,3,7,733832,78795,28715,15243,10361,0
0,3,21,853689,712401,36446,32963,46749,0
0,3,30,515413,54316,28845,18169,4811,0
0,3,48,400203,58894,25399,9643,10873,0
0,3,44,203331,91294,18336,11917,15998,0
0,3,43,333223,514040,7278,8722,4915,0
0,3,26,544942,817419,92045,45809,22810,0
0,3,16,584918,99078,14850,18461,3709,0
0,3,16,451680,171379,217664,31427,23367,0
0,3,30,1048071,29503,11742,6791,12287,0
0,3,41,1359295,924999,204673,37637,17994,0
0,3,57,67492,15171,703,873,1596,0
0,3,47,495071,53681,19179,3088,12719,0
0,3,50,176037,90859,19605,11176,18808,0
0,3,54,826147,38021,9575,8154,4120,0
0,3,40,803720,361422,118463,34601,14926,0
0,3,50,447845,35897,7622,2462,4412,0
0,3,70,192092,18154,1781,2135,2715,0
0,3,67,220689,36018,4614,2493,4092,0
0,3,75,148442,101439,61063,19131,25191,0
0,3,64,2044584,602540,251577,7603,59728,0
0,3,40,134759,159911,22530,8322,5256,0
0,3,44,1139275,231657,65519,14975,27807,0
0,3,43,116640,45178,8834,2858,9568,0
0,3,57,935542,100940,24711,22223,32800,0
0,3,66,897286,84654,14929,6246,8772,0
0,3,57,932040,170143,6808,38137,45132,0
0,3,61,1066899,280477,14027,32889,16067,0
0,3,69,387475,29607,1142,9389,10254,0
0,3,69,1011402,59810,1037,22287,8275,0
0,3,88,5503,12466,8666,14777,17259,0
0,3,87,465019,87776,9617,27391,38067,0
0,3,91,10732,5987,2158,13154,18921,0
0,3,100,7354,11603,3754,11025,15373,0
0,3,91,266004,54273,14478,9306,15608,0
0,3,97,720780,32353,1897,11410,6034,0
0,3,97,4512,11293,29048,6013,11405,0
0,3,70,406356,219231,22797,13438,20914,0
0,3,70,1337969,163143,1336,17444,9282,0
0,3,66,886231,57752,18564,15123,10852,0
0,3,66,61482,11320,13080,8887,15419,0
0,3,69,397337,234448,43733,21168,29100,0
0,3,53,1551526,76856,12592,9917,14894,0
0,3,61,962216,4727,449,2767,1018,0
0,3,38,204421,161723,49347,10270,26961,0
0,3,50,577897,30567,3468,6004,2789,0
0,3,69,604610,19069,11151,3711,6085,0
0,3,60,638407,58514,7638,5553,12795,0
0,3,77,6267,22468,4061,14310,9858,0
0,3,75,666878,76299,5608,15775,28144,0
0,3,69,260555,3860,6648,8446,2849,0
0,3,74,612591,23353,7506,7652,10213,0
0,3,60,475243,13542,7123,4045,4670,0
0,3,50,327282,49338,10720,4710,3098,0
0,3,41,49520,14822,5655,2464,1946,0
0,3,35,1049870,418713,93045,21611,21120,0
0,3,37,670166,158986,72162,22837,46915,0
0,3,23,588876,241087,27112,13496,3656,0
0,3,21,431244,45306,12852,3100,2528,0
0,3,11,331430,570217,109073,35998,29340,0
0,3,14,243291,44708,19447,501,3667,0
0,3,21,489136,188809,34784,7413,4724,0
0,3,35,417440,191482,27754,10273,21498,0
0,3,38,931257,196575,105263,23731,45681,0
0,3,37,925380,265757,108166,14277,22092,0
0,3,48,950208,155017,47634,22876,17604,0
0,3,50,1782793,26670,12328,1687,6838,0
0,3,66,851089,68679,12201,17234,18991,0
0,3,77,2205,13969,9582,13751,11222,0
0,3,70,126974,18776,8137,8932,2687,0
0,3,56,1730261,336064,46784,13281,30322,0
0,3,43,245357,144002,2313,11541,10411,0
0,3,29,356905,5189,3026,588,1281,0
0,3,21,1175172,414759,137539,15445,48180,0
0,3,29,2581211,347719,103052,34928,19858,0
0,3,37,468688,31851,30545,13121,5739,0
0,3,43,250333,114832,13789,16839,26376,0
0,3,66,224159,25585,2597,16844,22575,0
0,3,69,116060,62458,24586,8427,17142,0
0,3,75,531897,60148,28695,22731,15304,0
0,3,70,297114,310662,13681,24641,22085,0
0,3,63,453721,61310,17623,13738,14781,0
0,3,60,49627,90563,22852,25412,17465,0
0,3,61,297833,1661,9863,5362,6541,0
0,3,70,86671,28177,31530,7835,9419,0
0,3,64,618264,110069,3751,8412,6415,0
0,3,60,757286,231154,37774,52038,38493,0
0,3,56,1021133,56674,3203,9920,9288,0
0,3,54,5333,29280,10578,36874,19685,0
0,3,51,395109,183615,48165,29835,36865,0
0,3,48,475410,503386,13752,30775,15349,0
0,3,53,971499,89153,5855,17238,5832,0
0,3,35,267309,93719,6531,3752,5485,0
0,3,43,123893,6918,6610,5333,5965,0
0,3,67,66737,7203,918,6584,4129,0
0,3,66,230387,97127,25873,5782,23639,0
0,3,81,65509,26684,8011,9564,13593,0
0,3,80,235316,108281,16870,4612,12220,0
0,3,78,31119,4103,17742,4569,8240,0
0,3,84,26406,4771,12782,9221,9375,0
0,3,69,502980,114760,24987,14739,18371,0
0,3,75,10480,14757,23066,12081,6911,0
0,3,63,321610,27227,21278,16597,8239,0
0,4,40,537373,92910,48431,18432,10009,0
0,4,30,1873226,204442,64598,34830,17561,0
0,4,24,1352101,195940,56150,66697,35019,0
0,4,10,406098,498769,30560,24308,32669,0
0,4,1,213455,31596,8469,3456,2143,0
0,4,4,1170762,210662,30800,4500,12419,0
0,4,1,2103615,830890,94323,18161,25050,0
0,4,13,316481,379583,67575,14935,31864,0
0,4,30,710274,35876,11058,7830,3285,0
0,4,37,411131,83750,13382,9490,3945,0
0,4,53,702118,50964,5415,3745,2527,0
0,4,53,1382228,345760,4984,9323,23065,0
0,4,51,268564,247354,46103,36887,31394,0
0,4,30,865832,455688,32425,7509,19033,0
0,4,27,177617,130998,23220,15543,16332,0
0,4,29,649875,48591,25915,6608,3715,0
0,4,34,175853,7165,2292,4927,8460,0
0,4,51,568904,85724,5899,8669,8420,0
0,4,60,804171,74757,29092,15954,20672,0
0,4,67,275339,24864,13887,2499,6472,0
0,4,63,368959,44261,24936,22516,21509,0
0,4,57,1830705,208757,74649,15753,18948,0
0,4,57,6567,10001,16543,22527,12864,0
0,4,53,256069,71452,5904,8847,4396,0
0,4,53,907191,40148,17714,10394,3156,0
0,4,51,291048,133040,14872,12423,3966,0
0,4,44,901163,61943,21492,23746,23837,0
0,4,50,650805,113301,43671,20471,9533,0
0,4,37,717587,654482,42807,12014,44576,0
0,4,47,157030,24434,16261,4231,9065,0
0,4,48,777225,44724,72242,13721,32021,0
0,4,43,148983,80165,9530,8182,6515,0
0,4,50,1150872,36499,15861,6715,3462,0
0,4,48,759380,177411,22730,38773,29251,0
0,4,30,612385,561699,31717,16975,16060,0
0,4,27,1134599,107714,11929,17282,20355,0
0,4,38,249428,29883,9678,7325,3488,0
0,4,43,173499,95386,26776,9030,14711,0
0,4,60,1672440,69824,2193,14442,20379,0
0,4,67,293667,124266,42911,24258,37469,0
0,4,54,977896,665026,34739,63633,23510,0
0,4,51,2757383,169231,63200,29699,42295,0
0,4,35,1496341,499382,25924,27292,37411,0
0,4,23,2095147,1011493,167230,63391,30153,0
0,4,41,73929,21677,22275,8497,10114,0
0,4,40,1793340,45125,23811,8961,11514,0
0,4,48,972558,393556,167859,30392,22516,0
0,4,51,64359,31373,2327,692,947,0
0,4,30,1395133,562015,28061,95771,31255,0
0,4,35,1048240,80745,29837,14680,34201,0
0,4,24,385444,244593,6419,9375,6072,0
0,4,34,200267,32266,11273,6030,4209,0
0,4,41,200273,27080,13520,1337,5231,0
