K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,Col15
13167.050239,-28516.484496,76.210236,151531.929002,63102.075021,-173.205081,156785.239101,-34111.008604,63102.075021,-25660.332714,-98671.470406,-61319.79474,0
27222.642543,-73497.843968,71.014083,250485.723689,103588.762648,-173.205081,196662.244844,-29680.422639,103588.762648,-27369.866861,-15924.475125,-160516.076541,0
29557.447031,-102433.48476,81.406388,161028.76358,167116.922168,-173.205081,203271.750725,-64607.227173,167116.922168,-28720.866491,-79752.279435,-105092.182749,0
14656.613934,-37526.612797,91.798693,190930.888722,175482.727569,-129.903811,232907.140043,-137717.091761,175482.727569,-22421.397704,-197025.975513,-72614.498057,0
11966.739029,-156883.965997,96.994845,77263.322424,169403.229234,-152.420471,95869.012199,-12096.64284,169403.229234,-57379.379153,15427.376543,-73399.117072,0
3192.169638,-10340.343321,103.923048,352330.311174,21965.868342,-140.296115,358820.30555,-11268.722554,21965.868342,-7111.800616,-349437.786325,-5845.671476,0
6709.964829,-82750.459382,88.334591,35018.603227,113113.310039,-152.420471,30681.548005,-29898.66104,113113.310039,-80003.426802,10466.78303,-41543.23862,0
36544.539989,-76353.99575,98.726896,107967.38709,79968.785785,-173.205081,62319.188056,-3195.63374,79968.785785,-28395.240939,-29299.371461,-76340.139344,0
11045.288,-27009.600293,96.994845,504229.434947,89943.666386,-150.68842,467092.533582,-62443.895714,89943.666386,-18118.983498,-320694.403174,-120670.247713,0
11951.150572,-52432.642047,96.994845,37765.635808,73897.947705,-155.884573,54680.843995,-21079.058328,73897.947705,-18754.646144,-42753.942134,-49344.395457,0
19372.988283,-25902.819827,116.047404,20995.919889,44269.486591,-138.564065,26933.390058,-17850.515623,44269.486591,-10525.672758,1931.23665,-40588.878625,0
11672.290392,-49886.52736,103.923048,348822.908289,67515.340479,-143.760217,346908.992146,-17277.206805,67515.340479,-18151.892463,-291211.434327,-51247.919294,0
14182.032012,-11021.039289,109.119201,165849.060977,56076.876946,-133.367912,201181.165401,-44754.460817,56076.876946,-8637.737377,-153719.509172,-14246.117892,0
10497.959945,-92378.929822,91.798693,21378.703118,146870.980279,-138.564065,126202.417992,-54206.262074,146870.980279,-17043.379946,4953.66531,-49462.174912,0
15150.248414,-28802.272879,88.334591,436553.013743,95806.65837,-129.903811,424613.987526,-66687.420193,95806.65837,-19721.130495,-391083.215943,-91966.701729,0
22239.532369,-58870.674898,76.210236,228346.650267,200545.502754,-110.851252,352746.003368,-141607.277874,200545.502754,-39913.37881,-194519.697995,-43822.617482,0
10449.462522,-93655.451267,65.817931,183924.743205,220358.431942,-129.903811,290579.235783,-126193.757738,220358.431942,-24013.152396,-78851.613015,-84804.67164,0
11405.554568,-60483.2142,81.406388,195434.220821,150660.707446,-114.315353,231597.709632,-89874.384354,150660.707446,-26358.34919,-104165.535567,-70652.084492,0
23755.076826,-117912.822827,65.817931,459729.585599,353445.751894,-119.511506,686366.701719,-235635.120065,353445.751894,-32138.202734,-432784.071186,-78853.345065,0
23834.751163,-105606.601839,83.138439,378738.889837,167937.914251,-133.367912,430457.926951,-62033.399673,167937.914251,-16622.4916,-336823.260294,-58288.705827,0
7453.014625,-68575.355573,86.60254,92924.525826,102353.810422,-140.296115,59774.80542,-33397.403672,102353.810422,-39561.772496,62456.02007,-92179.743979,0
13132.409223,-107525.714134,76.210236,285913.090907,205599.627011,-150.68842,350835.551327,-97945.741117,205599.627011,-31047.010726,-144737.093684,-121453.134678,0
3349.786262,-18579.709013,76.210236,724168.710594,169311.430541,-133.367912,814242.280791,-150563.7126,169311.430541,-13215.547662,-668495.401486,-46280.397578,0
50419.999008,-89314.931943,69.282032,209034.283762,300238.883136,-119.511506,401394.1144,-210650.287166,300238.883136,-42170.241012,-183415.520268,-57081.466414,0
34923.340433,-81373.47899,74.478185,673428.282186,323635.425445,-96.994845,826013.298079,-241920.732446,323635.425445,-13669.344973,-496107.84871,-129335.697903,0
13534.24501,-72178.021253,88.334591,115487.951696,95302.631585,-98.726896,77907.645324,-22478.555381,95302.631585,-22182.374693,20658.169982,-104319.688089,0
4849.742261,-14563.08319,74.478185,550265.613361,124487.687692,-103.923048,644021.523575,-109697.705847,124487.687692,-6462.281563,-517465.767218,-31055.67098,0
10167.13824,-16622.4916,65.817931,1401991.205679,64094.540134,-98.726896,1435191.155558,-47304.039606,64094.540134,-5592.792058,-1364331.22497,-54902.546498,0
25395.328941,-39301.964875,69.282032,105869.873562,135517.387235,-103.923048,149387.650102,-95858.619894,135517.387235,-40431.262001,-58041.022562,-44789.101833,0
14253.046095,-46642.396197,69.282032,85961.68158,98773.661403,-93.530744,112990.334432,-51353.574394,98773.661403,-25940.924945,-59352.185023,-50419.999008,0
3472.761869,-8052.304204,74.478185,258269.560018,38370.12154,-103.923048,288826.400365,-30123.827645,38370.12154,-3095.174793,-252915.790972,-6308.129041,0
44879.168475,-103505.62421,83.138439,447250.15953,249754.798248,-109.119201,571543.857532,-145833.481845,249754.798248,-51798.711451,-417883.238088,-75375.387044,0
15311.329139,-47733.588206,83.138439,60077.914311,78370.10289,-119.511506,57680.755994,-30297.032726,78370.10289,-17821.070759,29538.394472,-58475.767314,0
4120.548871,-47707.607444,76.210236,82294.93002,82301.858223,-129.903811,59433.591411,-34329.247006,82301.858223,-23036.275741,28487.039632,-96277.77619,0
6739.409692,-42352.106347,83.138439,41489.545045,59239.60172,-152.420471,57001.792077,-16494.31984,59239.60172,-12098.374891,6133.19191,-43436.370152,0
46011.929703,-41366.569437,91.798693,297010.340431,127671.197077,-145.492268,375158.740818,-85920.11236,127671.197077,-14351.772992,-262660.308815,-31589.142628,0
15347.702206,-40860.810601,98.726896,41285.163049,47149.887084,-150.68842,10205.243358,-5902.829152,47149.887084,-22499.33999,-2727.980022,-52649.148398,0
7144.709581,-9706.412726,91.798693,799606.451467,83373.997673,-121.243557,863997.172289,-73352.351701,83373.997673,-2035.159699,-772234.852555,-18730.397433,0
10960.41751,-51845.476823,98.726896,130004.269515,75946.96381,-116.047404,44813.350544,-23848.607569,75946.96381,-29347.868883,91357.019845,-126339.250006,0
97330.863081,-54214.922328,103.923048,396501.070869,215751.176794,-114.315353,494931.786212,-161132.686628,215751.176794,-25113.004659,-283801.720973,-100431.234026,0
35151.97114,-34019.209911,105.655099,77121.294258,67085.791879,-103.923048,12533.119644,-32915.893547,67085.791879,-55550.3335,11492.157108,-72635.282666,0
96769.678619,-110031.991652,138.564065,705195.826048,159182.397419,-121.243557,648448.645439,-48720.857166,159182.397419,-71247.909969,-587428.495489,-101205.460737,0
11545.850683,-27716.277023,128.17176,899654.902264,220500.460108,-93.530744,1053826.476697,-192664.67158,220500.460108,-9010.128301,-847431.838365,-46990.538409,0
10936.168799,-119818.078715,91.798693,689318.116295,298442.746449,-109.119201,861624.262682,-178337.1473,298442.746449,-24442.700996,-509931.346206,-130593.166789,0
45137.244045,-54225.314633,86.60254,751490.080032,235241.944532,-98.726896,741492.682771,-180727.377414,235241.944532,-24515.44713,-534502.218962,-189323.545572,0
21849.820937,-22821.501441,69.282032,651916.211156,75316.497316,-88.334591,678735.28586,-52193.619035,75316.497316,-5275.82676,-582279.108438,-53189.54825,0
54150.836448,-290788.81393,74.478185,1070374.490112,533698.547387,-116.047404,1423271.1819,-242755.580935,533698.547387,-32063.72455,-939873.122016,-145249.780723,0
89671.734409,-20798.466097,110.851252,1167216.914865,178863.690745,-88.334591,1272343.73863,-157322.174851,178863.690745,-21163.928818,-1125647.695483,-48642.91488,0
14850.603624,-6076.034233,110.851252,286588.590722,31384.760633,-83.138439,304652.148594,-25073.16749,31384.760633,-5669.002293,-280282.193732,-10530.86891,0
37533.541,-105365.846777,116.047404,299939.238347,182461.160273,-93.530744,257396.606411,-76951.553279,182461.160273,-83003.3388,-204989.945127,-140374.057699,0
32209.216818,-32278.49885,114.315353,1108393.005338,239892.50095,-69.282032,1283936.354685,-207210.434262,239892.50095,-16868.442815,-1062727.485797,-58771.948002,0
396630.974679,-77053.744276,110.851252,4570364.197983,828808.828082,-65.817931,5058133.954106,-751277.037783,828808.828082,-60448.573184,-4241747.394415,-390707.360917,0
9581.705067,-5403.99852,129.903811,849063.430226,16179.086594,-65.817931,834091.583045,-10433.874065,16179.086594,-2367.713454,-837230.059109,-16546.281365,0
136220.599863,-50198.296505,121.243557,4018415.031236,588876.489964,-36.373067,4281260.669488,-538362.960212,588876.489964,-56809.534437,-3649481.281021,-253793.940731,0
54169.889007,-23685.794794,140.296115,277431.238102,155837.807309,-34.641016,345325.897708,-131606.416512,155837.807309,-25963.441605,-259216.99181,-51169.977008,0
26826.002908,-18844.712786,121.243557,1339663.357368,225923.511187,-36.373067,1476990.737697,-206853.631796,225923.511187,-27853.109037,-1269420.036867,-52488.067673,0
255823.904278,-114181.985387,116.047404,2100404.320764,314159.375477,-41.569219,2215282.590576,-199828.43372,314159.375477,-24208.874137,-1896349.683073,-153726.437375,0
64241.764453,-66197.249814,129.903811,4803827.326335,533757.437114,-45.033321,4887379.725241,-467274.398917,533757.437114,-45949.575874,-4946449.585983,-217829.637763,0
210423.38851,-59099.305605,135.099963,1490088.505904,328805.597106,-45.033321,1621161.450767,-269503.641556,328805.597106,-27759.578293,-1407739.882309,-122932.306067,0
83722.139885,-37784.688367,150.68842,1928605.665263,287705.763493,-50.229473,2054328.305181,-249633.554692,287705.763493,-21643.706891,-1750020.834697,-140088.269316,0
65041.971926,-148145.769673,114.315353,4280488.174828,1150254.941306,-41.569219,4888157.416054,-1002140.348548,1150254.941306,-100760.32368,-3579757.575762,-441743.970013,0
74065.956633,-109292.405958,119.511506,4474015.40771,264749.162089,-58.889727,4345873.092814,-155661.138127,264749.162089,-45868.169486,-4466261.016245,-214098.800324,0
963642.055248,-141337.077948,135.099963,3348615.395492,435562.280681,-51.961524,3244115.574119,-293974.055365,435562.280681,-116932.48207,-3222570.594124,-272680.222737,0
216168.601039,-79107.956534,143.760217,3674725.921541,588232.167063,-50.229473,3929695.924771,-508980.450312,588232.167063,-21318.08134,-3512027.460983,-242591.036108,0
55985.078253,-24222.730544,157.616623,1712625.857762,257432.979478,-41.569219,1865481.073581,-232940.049008,257432.979478,-12391.091477,-1584783.187655,-80393.138233,0
25156.305929,-17455.608039,135.099963,1313845.408031,252598.825674,-22.51666,1486461.591513,-234921.515132,252598.825674,-14273.830705,-1259071.033292,-53697.039136,0
216771.35472,-198789.203235,98.726896,3856549.687117,1986024.881584,-22.51666,4905730.803548,-1787152.53991,1986024.881584,-145679.329323,-3493317.84816,-518127.410627,0
7681.645332,-31601.266984,93.530744,930878.582172,264861.745392,-22.51666,967861.331015,-233373.06171,264861.745392,-32947.070462,-934834.586217,-124331.80312,0
42137.332047,-22579.014327,103.923048,178924.312523,117872.985658,-29.444864,263197.244566,-95108.641894,117872.985658,-5149.387051,-158548.466823,-22197.96315,0
341404.53468,-161049.548189,121.243557,3682092.333626,702798.66773,-45.033321,3944513.61943,-541596.69907,702798.66773,-60091.770718,-3204416.96961,-341380.285969,0
189869.141577,-72867.377474,133.367912,4894697.639903,951969.764856,-36.373067,5259486.592536,-878736.924661,951969.764856,-53458.016125,-4816157.796034,-291315.357376,0
49484.691572,-26278.674852,121.243557,1797331.802506,269207.460868,-39.837169,1983255.332343,-242868.164237,269207.460868,-10555.117621,-1678237.721029,-71003.690805,0
101645.401642,-134545.706732,98.726896,2020884.136137,1080429.04505,-36.373067,2861548.851997,-945691.080679,1080429.04505,-29420.615017,-1653031.185626,-211923.344509,0
139540.941261,-140329.024378,93.530744,3271057.624431,585635.822903,-39.837169,3630908.500211,-445076.435767,585635.822903,-32955.730716,-3266386.283403,-178356.199859,0
93684.896131,-54225.314633,88.334591,1881414.20896,277405.25734,-58.889727,2118753.667019,-223048.306846,277405.25734,-4979.646072,-1834009.710407,-43316.858646,0
100928.332608,-23231.997482,98.726896,2009113.118849,153624.246377,-58.889727,2105574.492424,-130243.292526,153624.246377,-9730.661437,-1936025.770922,-89105.353795,0
11814.318558,-5513.11772,119.511506,269652.597926,31693.065677,-60.621778,283143.541666,-25918.408284,31693.065677,-3872.865606,-248471.3486,-18209.05014,0
18098.198888,-68644.637606,105.655099,318645.387068,208116.296834,-71.014083,485263.478604,-139298.454148,208116.296834,-15093.090737,-312617.850258,-21919.10297,0
15335.57785,-32444.775727,88.334591,1168224.968435,127160.242088,-76.210236,1256961.395408,-94272.061354,127160.242088,-7487.655641,-1118334.976974,-46318.502696,0
5620.504871,-28024.582066,65.817931,1156810.753613,179391.966242,-86.60254,1276680.793853,-151187.250891,179391.966242,-9555.724305,-1110720.881624,-43654.608554,0
20703.203303,-19608.547192,51.961524,394180.122787,172778.996258,-83.138439,489713.117129,-152934.890156,172778.996258,-14956.258723,-310007.649691,-58508.67628,0
43824.349533,-151400.29314,60.621778,981090.735084,505559.649967,-81.406388,1237082.64829,-353780.0377,505559.649967,-39703.800662,-750192.773977,-232049.774893,0
165502.650816,-80135.062663,74.478185,2471383.622983,1524332.88242,-34.641016,3569380.859374,-1443872.194206,1524332.88242,-28788.416473,-1998272.212845,-348384.699434,0
8985.87959,-73913.536162,41.569219,1367843.824007,657815.576207,-36.373067,1908243.675969,-584004.231042,657815.576207,-25726.150645,-1222278.810038,-120226.842706,0
699.748526,-45071.426115,29.444864,1828193.483795,390825.140372,-22.51666,2127947.392706,-345831.656544,390825.140372,-19535.801059,-1810973.434667,-69848.412917,0
82144.2416,-195337.225976,39.837169,1113480.03856,674671.894666,-83.138439,1657184.643463,-479272.314861,674671.894666,-12036.021062,-946278.245902,-127375.016389,1
2480.296756,-4162.118091,64.08588,462897.506526,16953.313304,-84.87049,470875.332546,-12593.741422,16953.313304,-2201.436576,-457069.155559,-7196.671105,1
38647.249669,-182369.36158,76.210236,3392803.475695,632018.411479,-98.726896,3605223.918786,-449309.567941,632018.411479,-51339.717987,-3027744.323136,-364825.3257,1
58624.723684,-48280.916261,86.60254,1458501.095326,297457.209539,-88.334591,1662034.385724,-249044.657417,297457.209539,-16047.450732,-1430531.938886,-105511.339045,1
87527.45551,-27170.681018,88.334591,441678.152082,280003.333552,-71.014083,675884.330231,-252811.867924,280003.333552,-20143.750892,-403978.334205,-37696.353776,1
10941.364951,-21188.177529,71.014083,1689211.994945,216915.114937,-60.621778,1857283.277109,-195522.555412,216915.114937,-7534.421013,-1647464.37433,-38500.025351,1
319610.139368,-93916.990939,91.798693,1643856.512498,671183.544339,-41.569219,1971234.899738,-577121.061133,671183.544339,-56118.446165,-1794576.109671,-69373.830996,1
22249.924674,-15132.927906,88.334591,373461.331026,105895.854324,-38.105118,382190.867097,-90501.386746,105895.854324,-9625.006338,-222856.049207,-88630.771874,1
133892.723577,-79026.550146,93.530744,2120411.239642,358659.224825,-48.497423,2364115.984419,-279670.779797,358659.224825,-29096.721516,-2095902.720715,-71997.887969,1
13430.321962,-9528.011492,119.511506,63115.931428,29043.027941,-65.817931,82494.115863,-19204.979354,29043.027941,-1697.409791,-56509.889648,-5726.15997,1
22398.881043,-10463.318929,121.243557,117618.37419,32787.721787,-77.942286,129567.792711,-22017.829866,32787.721787,-1920.844346,-112006.529573,-11490.425057,1
133433.730113,-59875.264367,110.851252,1311785.99962,1491207.410726,-62.353829,2579238.42677,-1431162.40538,1491207.410726,-25591.050682,-1089134.332409,-248786.581847,1
224939.706328,-165298.26882,109.119201,2138764.049999,1290235.823473,-51.961524,2861839.836533,-1124916.770043,1290235.823473,-57637.454723,-2272111.177572,-282395.295717,1
202.649944,-791.547219,109.119201,499776.332321,1108.512517,-51.961524,499660.284917,-159.348674,1108.512517,-140.296115,-499417.797804,-1515.544457,1
4988.306326,-2778.209495,109.119201,132035.965112,80429.5113,-51.961524,204801.151589,-77668.622313,80429.5113,-1295.574004,-129548.740152,-4619.379504,1
527291.69145,-86983.591556,109.119201,970282.738044,364761.23982,-51.961524,1120856.84295,-277557.677811,364761.23982,-27698.956515,-1079957.927231,-63815.679954,1
48010.716335,-29233.55353,96.994845,566837.875488,435202.014113,-25.980762,854722.040214,-406042.938768,435202.014113,-26270.014598,-537427.652776,-72332.173775,1
1591.754692,-22151.197778,58.889727,325301.658322,196958.425532,-19.052559,490373.028486,-174791.639297,196958.425532,-11166.531556,-320737.704444,-48431.604681,1
13920.49234,-28461.05887,74.478185,700708.082405,187633.063984,-38.105118,770184.104398,-158839.451359,187633.063984,-18002.936094,-673253.345054,-63957.70812,1
7489.387692,-4326.662917,64.08588,82608.431216,61884.443304,-31.176915,129640.538845,-57228.690733,61884.443304,-2558.239043,-74194.128393,-9962.756245,1
59383.361937,-30551.644195,69.282032,717633.682897,177032.913042,-46.765372,832938.037207,-146332.312477,177032.913042,-15481.070118,-681387.055647,-60150.660445,1
64326.634942,-56916.921588,93.530744,827180.700323,183642.418923,-62.353829,920139.867165,-126313.269244,183642.418923,-7179.350597,-731902.31745,-109843.198114,1
6651.075101,-23304.743616,96.994845,1904899.085859,61357.899858,-77.942286,1899503.747594,-37886.879365,61357.899858,-12027.360808,-1869766.167279,-40642.5722,1
74440.079608,-70937.872875,96.994845,1972790.281364,525542.320134,-90.066642,2307192.134629,-454495.328058,525542.320134,-43119.404854,-1755875.166427,-154968.317804,1
32313.139866,-43924.80848,105.655099,373194.595202,94996.058592,-105.655099,392472.32069,-50792.389932,94996.058592,-6576.596916,-333322.785612,-42385.015312,1
44617.628803,-16012.809716,91.798693,1088871.060686,311289.367289,-76.210236,1354604.027634,-295281.753725,311289.367289,-12036.021062,-1029948.424264,-72167.628948,1
12193.637685,-4373.428289,83.138439,303929.883407,62203.140652,-46.765372,349815.373401,-57611.473961,62203.140652,-4186.366802,-284265.910589,-16267.421185,1
88388.284761,-14279.026858,96.994845,1172970.787648,216379.911237,-29.444864,1276391.541368,-201823.75625,216379.911237,-8989.343691,-1158809.540245,-58898.387711,1
91845.458173,-88859.402581,86.60254,2142855.154006,609742.506043,-13.856406,2438679.039634,-520670.061212,609742.506043,-16877.103069,-1888467.119848,-255169.189073,1
1787.476433,-7336.967221,69.282032,511857.386704,120070.958133,-19.052559,621889.378356,-112517.484561,120070.958133,-1512.080355,-503624.949215,-8234.169539,1
2629.253126,-9212.778245,64.08588,166320.178797,22256.852877,-51.961524,171911.238804,-12903.778516,22256.852877,-1790.940535,-139882.15527,-16828.605646,1
